epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9585873484611511,9.999999747378752e-05,0.12328392267227173,0.9663917422294617,0.9530297517776489,0.9688076972961426,0.08152779191732407,0.9702637791633606,0.9675769209861755
1,0.980529248714447,9.999999747378752e-05,0.05596882477402687,0.9819238781929016,0.9793369174003601,0.993461549282074,0.02019885554909706,0.9936501979827881,0.9930769205093384
2,0.9839329719543457,9.999999747378752e-05,0.04665979743003845,0.985112726688385,0.983009934425354,0.9873076677322388,0.03326570615172386,0.9876842498779297,0.9870384335517883
3,0.9858656525611877,9.999999747378752e-05,0.040305737406015396,0.9866623282432556,0.9851348996162415,0.9850000143051147,0.04103114828467369,0.9856746792793274,0.9844615459442139
4,0.987048327922821,9.999999747378752e-05,0.03734545782208443,0.987922191619873,0.9862598776817322,0.99411541223526,0.01780005358159542,0.9941909909248352,0.99396151304245
5,0.9882502555847168,9.999999747378752e-05,0.03367455303668976,0.9889103770256042,0.9877598285675049,0.9923846125602722,0.021797336637973785,0.9926128387451172,0.9922692179679871
6,0.9891059994697571,9.999999747378752e-05,0.03227553889155388,0.9896626472473145,0.9886444211006165,0.9934999942779541,0.019977640360593796,0.9936129450798035,0.9932307600975037
7,0.9894809722900391,9.999999747378752e-05,0.030955469235777855,0.989951491355896,0.9889425039291382,0.9973077178001404,0.009289499372243881,0.9973843097686768,0.9972692131996155
8,0.9898847937583923,9.999999747378752e-05,0.028698362410068512,0.9904047846794128,0.9894905686378479,0.9960769414901733,0.012215269729495049,0.996114194393158,0.9958077073097229
9,0.9904136657714844,9.999999747378752e-05,0.027921969071030617,0.9909632205963135,0.9900771379470825,0.9960769414901733,0.012265115976333618,0.9961526393890381,0.995846152305603
10,0.9906252026557922,9.999999747378752e-05,0.027035409584641457,0.9910117983818054,0.9901732802391052,0.996999979019165,0.009280690923333168,0.9970764517784119,0.9969230890274048
11,0.9909232258796692,9.999999747378752e-05,0.026310820132493973,0.9913873672485352,0.9905771017074585,0.9956538677215576,0.012474127113819122,0.9958067536354065,0.9955769181251526
12,0.9916732311248779,9.999999747378752e-05,0.024386877194046974,0.9920530319213867,0.9914520978927612,0.9932692050933838,0.01786167360842228,0.9933831095695496,0.9931538701057434
13,0.9922789931297302,1.9999999494757503e-05,0.02311171218752861,0.9926192760467529,0.9918270707130432,0.994038462638855,0.01587444730103016,0.9941144585609436,0.99396151304245
14,0.9921635985374451,1.9999999494757503e-05,0.022215820848941803,0.9924476146697998,0.9918655157089233,0.995769202709198,0.011870714835822582,0.9958067536354065,0.9955769181251526
15,0.9924712777137756,1.9999999494757503e-05,0.021312521770596504,0.9928514957427979,0.9922405481338501,0.9960769414901733,0.011062951758503914,0.9961146116256714,0.9959231019020081
16,0.9928463101387024,1.9999999494757503e-05,0.02059267833828926,0.9931309223175049,0.992577075958252,0.996999979019165,0.009252635762095451,0.9970381259918213,0.9969230890274048
17,0.9930674433708191,1.9999999494757503e-05,0.02086901105940342,0.9933805465698242,0.9927501678466797,0.996999979019165,0.00898794922977686,0.9970764517784119,0.9969230890274048
18,0.9928751587867737,1.9999999494757503e-05,0.020729729905724525,0.9931787848472595,0.9925866723060608,0.9960769414901733,0.01110273227095604,0.9961532354354858,0.9959999918937683
19,0.9931731820106506,1.9999999494757503e-05,0.020106878131628036,0.9934964776039124,0.9929424524307251,0.995846152305603,0.01173621229827404,0.9959222674369812,0.9957307577133179
20,0.9933366775512695,1.9999999494757503e-05,0.019841475412249565,0.9936600923538208,0.9931155443191528,0.9971538186073303,0.00841677188873291,0.9971919655799866,0.9970769286155701
21,0.9930674433708191,1.9999999494757503e-05,0.019960952922701836,0.9934004545211792,0.9928751587867737,0.9970384836196899,0.009045728482306004,0.997076690196991,0.996999979019165
22,0.993153989315033,1.9999999494757503e-05,0.019749769940972328,0.9934773445129395,0.9929328560829163,0.9961538314819336,0.011082042008638382,0.9961535334587097,0.9960769414901733
23,0.9930578470230103,1.9999999494757503e-05,0.019697926938533783,0.993295431137085,0.9928847551345825,0.9964615106582642,0.010581184178590775,0.9966147541999817,0.996423065662384
24,0.9935674071311951,1.9999999494757503e-05,0.019543349742889404,0.9937855005264282,0.9932885766029358,0.9968461394309998,0.00918741337954998,0.9968459010124207,0.9967692494392395
25,0.9934232234954834,1.9999999494757503e-05,0.01918100006878376,0.9936990737915039,0.9932308793067932,0.9967307448387146,0.009591114707291126,0.9967690110206604,0.9966922998428345
26,0.9935866594314575,3.999999989900971e-06,0.018774937838315964,0.9939101338386536,0.9933462738990784,0.9973077178001404,0.008095120079815388,0.9973459243774414,0.9972692131996155
27,0.9933943748474121,3.999999989900971e-06,0.019247306510806084,0.9938138723373413,0.9932405352592468,0.9969230890274048,0.009437669068574905,0.9969229698181152,0.9968846440315247
28,0.9936636090278625,3.999999989900971e-06,0.01859700307250023,0.9938340783119202,0.9934232234954834,0.9965384602546692,0.009954719804227352,0.9966916441917419,0.9965000152587891
29,0.9937212467193604,3.999999989900971e-06,0.018085556104779243,0.9939488172531128,0.9934232234954834,0.9968846440315247,0.009234537370502949,0.9969611763954163,0.9968461394309998
